Timestamp,Which residential college do you stay in? ,Year of study,How often do you use the laundry service?,The laundry area is clean and hygienic,Washing machines function properly  ,Dryers dry clothes effectively  ,The timer displayed on machines is accurate  ,There are enough machines during peak hour  ,The payment system works properly without issues  ,"Overall, I am satisfied with the campus laundry service  ",Describe your overall experience using the campus laundry service  ,What problems have you experienced when using the laundry service?  ,What do you think the laundry service management can improve?  ,Is there anything you like about the current laundry service?  
2026/02/27 9:47:10 PM GMT+8,Murni,Year 3,Every weekend,1,3,2,1,1,2,2,Usually poor experience (with machine itself and the environment is unhygienic),"Wrong timer, dryer not drying properly,
Uncleaned washing machine, 
payment only available for QR no cash, 
Sometimes payment made but machine not working,
Sometimes pay by accident but if want refund have to call which is lengthy","Include cash, weekly machine cleanup, update for timer to be more accurate, include proper refundable process (automated), include a laundry basket to insert other people laundry if they take too long ",It has a fan. 
2026/02/27 9:56:31 PM GMT+8,Murni,Year 3,Rarely,3,2,3,2,1,2,3,"Overall it's good, but there are just minor discrepancies that disrupt this ","Sometimes the payment is made, however the washing machine does not start and I have to reach out the hotline services and wait while i get refund and have to go back and wait again until i could continue to use the machine again.","More numbers of washers & dryers(especially the washers).
Less technical problems with washer not working even though payment is made.
Add an option to pay through cash since some students can't pay with e-wallet and/or bank services, especially international students who usually have to live there even during midsem breaks.
And make sure the floor is hygenic to walk on without shoes since sometimes it is not cleaned.
","I appreciate that these time the payment made is done through duitnow qr, rather than the qr made using the camera since it'd take long time to enter details if use bank services to pay."
2026/02/27 10:01:40 PM GMT+8,Ilmu,Year 3,3–4 times/week,4,3,3,3,1,2,3,okay but not satisfied ,not enough at the peak because only have 3 machine,add more atleast 6 machine ,easy payment method compare to bfr this
2026/02/27 10:34:24 PM GMT+8,Ilmu,Year 2,Every weekend,3,3,2,2,1,4,3,its just okay not the best not the worst either,dryer didn’t dry my clothes properly sometimes,change to better washers and dryer’s ,nothingg
2026/02/28 1:42:52 AM GMT+8,Murni,Year 3,Rarely,3,3,2,1,1,1,1,"it doesnt dry my clothes well, it's a bit expensive but not included the soap together so i prefer to wash at decentrum, cleaner, and dry well even lots of clothes and smells nice even i dont put my own soap","not dry well, payment issues",pls improve the service and the quality,nothing
2026/02/28 11:26:04 AM GMT+8,Murni,Year 3,1–2 times/week,2,4,4,2,2,4,3,Okay,Not fully dry,Add on more machine,Table and chair provided 
2026/02/28 12:43:27 PM GMT+8,Murni,Year 3,1–2 times/week,2,3,4,4,1,1,3,Average (5/10),"Payment failure, dirty laundry , lack of machine",Provide separated laundry rooms for each block,"(QR payment) But it is everytime good to provide token option too via cash, cuz not everyone got a e-wallet, or bank system especially new students"
2026/02/28 12:45:52 PM GMT+8,Murni,Year 1,Every weekend,4,3,2,1,1,4,4,Okay,Dryer not drying properly,"Add more machines, dryer and washing machine",The paying is easier
2026/02/28 12:49:03 PM GMT+8,Ilmu,Year 1,Rarely,5,4,2,2,1,5,4,I usually dont have problems while using it,Too long to wait coz too little machine,add min total of 10 washing machine,It functions properly
2026/02/28 12:51:03 PM GMT+8,Murni,Year 3,Every weekend,4,4,4,2,1,3,4,Okay,The machine okay but location a bit far esp when laundry heavy,Maybe can add a laundry service in each building so then got more machine and more people can use,The facility is maintained good
2026/02/28 1:29:57 PM GMT+8,Murni,Year 3,Rarely,3,4,4,4,2,3,3,I never used  it,I never experienced,They have to add more machines,Nothing
2026/02/28 3:27:16 PM GMT+8,Murni,Year 1,Rarely,5,5,5,2,2,3,4,Usually fine,Ig have to wait for people in queue,Add more machine maybe,The place looks clean
2026/02/28 3:30:35 PM GMT+8,Ilmu,Year 2,1–2 times/week,5,4,2,2,1,3,3,Good but sometimes bad,People not there even after their laundry finish. Have to wait just for them,I think it would be a good idea to include a bakul to put other peoples clothes should add more than one bakul cause majority no take there clothes at same time,I think the good thing is machine looks well maintained no rosak or anything
2026/02/28 10:01:18 PM GMT+8,Ilmu,Year 2,Rarely,3,4,2,1,1,3,4,"Okay, nothing too problematic ",Sometimes paid but machine not working ,"Add cash, or can a more seamless refundable procedure",Got sink and place to sit
2026/03/02 2:29:24 PM GMT+8,Murni,Year 3,Rarely,4,4,4,3,1,3,4,Quite bad because the machine always full and sometimes the payment went down and it's difficult to make transactions.,Not enough amount of machine.,By add more machines.,Nothing.
2026/03/02 8:01:31 PM GMT+8,Murni,Year 3,1–2 times/week,3,3,3,3,3,3,3,Just like other normal laundry,Have to queue if peak time,Add more machines,Nothing
2026/03/02 8:02:40 PM GMT+8,Ilmu,Year 2,3–4 times/week,4,3,4,3,3,4,4,Its fine,No problems,Want extraa,-
2026/03/02 8:05:03 PM GMT+8,Cendikiawan,Year 1,1–2 times/week,4,4,4,4,4,4,4,Its okay to use,No,Can improve on cleanliness,Good
2026/03/02 8:13:13 PM GMT+8,Amanah,Year 3,1–2 times/week,3,3,3,3,3,3,3,Its good,Nothing,Moree machines,Its just like other laundry services
2026/03/02 8:44:13 PM GMT+8,Murni,Year 1,3–4 times/week,3,2,2,4,1,2,3,sometimes good and sometimes not,the laundry always full,add more dryer and washing machine ,so far no
2026/03/02 8:46:11 PM GMT+8,Ilmu,Year 3,1–2 times/week,2,2,2,3,1,3,3,not good,dryers not function,more washing machine ,no
2026/03/02 8:49:08 PM GMT+8,Cendikiawan,Year 2,1–2 times/week,4,2,3,3,1,2,3,not good,when to pay,when washing machine out of service fast repair need it,a bit clean 
2026/03/02 8:52:41 PM GMT+8,Ilmu,Year 2,1–2 times/week,3,3,2,3,1,2,3,well better then none,the payment system,tha payment system,dont know
2026/03/02 8:55:34 PM GMT+8,Murni,Year 1,3–4 times/week,4,4,4,4,1,4,4,good,nothing for me,i think add additional dryer and washing machine ,its clean
2026/03/02 8:56:49 PM GMT+8,Murni,Year 1,Rarely,1,2,2,3,3,3,3,good,no,the payment,the cleanliness
2026/03/02 8:57:35 PM GMT+8,Murni,Year 1,Rarely,2,2,2,2,2,2,2,neutral,not dry well,check the dryer,no
2026/03/02 8:58:19 PM GMT+8,Amanah,Year 4,Rarely,5,4,4,4,1,4,4,good bcs i rarely use,during my experince no,more the machine and maybe the payment,so far yes
2026/03/02 9:00:27 PM GMT+8,Amanah,Year 2,Rarely,2,3,3,4,1,1,2,is not good,the dryers not functioning ,the dryers please,nahh
2026/03/02 9:02:16 PM GMT+8,Murni,Year 3,Every weekend,4,5,5,5,1,2,3,so far so good,payment ,make cashless payment so easy to use,its clean
2026/03/02 9:04:29 PM GMT+8,Ilmu,Year 3,3–4 times/week,5,5,5,5,1,4,4,its good,so far no ,additional machine,for me all good
2026/03/02 10:10:28 PM GMT+8,Amanah,Year 4,Rarely,3,4,4,5,3,4,4,"The service is reliable and convenient. The app-based payment system makes it easy to manage, though machines can get crowded during the weekends",Difficulty finding an available machine during peak hours,Overall good. Improvement on cleanliness has to be done.,QR payment make easy the payment process.
2026/03/02 11:15:33 PM GMT+8,Murni,Year 1,Rarely,3,3,3,2,2,4,4,Okay,Sometimes my outfit not dry properly,The heatness? So it can dry properly,The washing machine overall works okay
2026/03/02 11:18:05 PM GMT+8,Murni,Year 2,1–2 times/week,4,4,2,1,1,5,5,Ok,"The time is inaccurate, i make timer on my phone and when i arrive time on machine says 10 min left",Make timer accurate ,The payment system works better
2026/03/02 11:20:24 PM GMT+8,Amanah,Year 3,Every weekend,3,3,3,2,1,4,4,Okay nothing big problem,Too long waiting time,Add more machine,The machine seems to wash and dry properly 
2026/03/02 11:22:49 PM GMT+8,Murni,Year 4,Every weekend,1,3,1,1,1,3,2,Everytime i use got problem 😭,I pay but machine not working so i have to ask for refund. If can i want to pay by cash,Add cash payment sometimes we dont have money in account only cadh,Got sink though not working
2026/03/02 11:25:18 PM GMT+8,Ilmu,Year 4,1–2 times/week,2,3,3,2,2,2,4,Okay ...but could be improved,Wait long time to use,More machines.3 each not enough,The machine does function properly it seems
2026/03/02 11:26:59 PM GMT+8,Ilmu,Year 1,1–2 times/week,1,3,3,2,1,4,3,Good,Unclean environment. People spill laundry detergent and it gets sticky. Sink got but dirty so cant use,Clean the place more regularly,The machine paying system function okay for me so far
2026/03/02 11:28:08 PM GMT+8,Ilmu,Year 1,Rarely,4,4,4,3,3,4,4,Usually okay,Maybe the machine not enough so have to wait,Add more washing machine and drying machine,The environment seems clean
2026/03/02 11:29:34 PM GMT+8,Murni,Year 2,3–4 times/week,2,2,2,2,1,4,3,Bad poor experience ,Machine doesnt seem to do what its supposed to do,Repair or upgrade the machine,Pay is easy no have to wait for long time
2026/03/02 11:31:27 PM GMT+8,Murni,Year 3,Every weekend,3,3,3,2,1,3,3,Overall nothing too problematic ,Only one time but i dried my clothes but a bit damp (not soo wet),Can add one more higher level of heat? Cause the current heat doesn't seem to be as hot as at decentrum ,"I think all okay, "
2026/03/02 11:38:01 PM GMT+8,Murni,Year 2,Rarely,3,3,2,2,2,3,3,Okay,timer late by 5-10 min ish and when peak hour and people just leave their laundry inside machine after timer finish wastes time for others,"Add more machine plssss and update the timer, i go and wait so long for it to finish",Paying is easy 
2026/03/03 6:01:59 AM GMT+8,Murni,Year 3,Every weekend,1,4,3,1,1,1,2,Bad not recommend ,Machine always got problem,Maintenance regularly,Not really
2026/03/03 6:04:34 AM GMT+8,Cendikiawan,Year 3,1–2 times/week,4,3,3,1,1,3,3,Okay but can be improved ,Machine seems too small,"Can add different sizes (14kg, 20kg like in decentrum)",Payment system is better and faster to use
2026/03/03 6:06:47 AM GMT+8,Ilmu,Year 1,Rarely,3,3,3,2,2,4,3,For me ok i dont really have anything bad happen,Timer inaccurate. I put clock on my phone but go down it still going on. Too hot to wait there,Update the timer,Machine works for me and drys
2026/03/03 6:11:21 AM GMT+8,Cendikiawan,Year 1,1–2 times/week,4,4,4,2,2,3,3,Good 👍🏻,"Not enough washing and drying machine
When i pay i sometimes scan wrong wr code would be good if qr placed in better location ",Place qr in better location to make it clear,I think other than amount everything else good so far
2026/03/03 1:09:23 PM GMT+8,Murni,Year 2,Rarely,3,3,3,2,2,4,3,Usually okay but i prefer decentrum coz got more sizes,Timer doesn't seem accurate. I come down but machine says timer still going,Update the timer and can add more different sizes machine,The paying system works easirr than before
2026/03/03 4:04:41 PM GMT+8,Ilmu,Year 3,1–2 times/week,3,1,2,2,3,3,2,Not bad but improvements are needed ,Long waiting time esp weekends,Clean area more frequently ,Affordable price
2026/03/03 4:11:30 PM GMT+8,Ilmu,Year 2,1–2 times/week,3,2,4,3,2,4,3,Ok work as intended,Insufficient machine during peak hours,Uniten really has to add more machines,Convenient coz within hostel area
2026/03/03 4:16:00 PM GMT+8,Ilmu,Year 1,Every weekend,2,3,4,3,2,3,4,Okay. was in maintenance so had to go wash at dc so when it finally works veryy helpful and save time  ,Area not clean. People sometimes wear shoes even though it says not to. Sink and overall dirty and dusty,Clean area more frequently ,NA
2026/03/03 4:20:14 PM GMT+8,Ilmu,Year 4,Rarely,3,1,2,2,3,4,4,I rarely use it because now got zafirah laundry service. But when i use it its usually in the morning so okay no waiting time,Dryer not drying properly but it might be coz i put too much laundry,Add different kg machine. If i have big laundry have to put in two different machine already occupying 2 out of 3,Price is cheaper tho only rm5 each
2026/03/03 4:23:11 PM GMT+8,Cendikiawan,Year 3,Rarely,2,5,3,3,1,5,3,Average. Does the minimum,Sometimes it gets dirty coz people keeps spilling laundry detergent and just leave it like that ,Add a sapu or mop to clean up by ourselves,Paying is easier like its lesser clicks 
2026/03/03 4:25:22 PM GMT+8,Murni,Year 3,1–2 times/week,2,3,1,2,3,4,3,Cheap and easy to use,Pay but machine not working so have to ask refund but takes time for refund,Add cash payment instead of only qr code,Cheap but at the same time its coz smll size
2026/03/03 4:31:06 PM GMT+8,Murni,Year 4,Every weekend,2,2,2,2,1,4,3,Meeh always problem when use,Dryer not drying and area not clean,Should rennovte. Last time rennovate but idk what changed ig the payment method only change,Paying is easier
2026/03/03 4:33:48 PM GMT+8,Ilmu,Year 4,1–2 times/week,4,4,3,3,2,2,3,Can be improved,Paying is sometimes slow and one time i accidentally pay twice,Add 2-3 washing machine and dryer each,Can wash clothes 24/7
2026/03/03 4:36:09 PM GMT+8,Murni,Year 3,Every weekend,3,3,3,2,1,5,3,Gud but sometimes have to wait long because not enough machine,Have to wait llong during peak hours making it frustrating ,"Add more fan, its too hot to wait only got one fan and its slow",Cheap RM5 only
2026/03/03 4:38:49 PM GMT+8,Ilmu,Year 2,1–2 times/week,2,2,2,2,2,4,3,For me all ok only sometimes got problem ,Timer late by 10 min ,Update timer ,Pay is easy 
2026/03/03 4:40:45 PM GMT+8,Murni,Year 3,Every weekend,3,3,3,2,2,3,3,Ok but sometimes got problems,Machine breaks down ,Regular maintenance ,.
2026/03/03 4:43:59 PM GMT+8,Murni,Year 1,1–2 times/week,4,4,3,3,2,3,4,Generally no problem,I am required to wait for a long time to wash my clothes due to the limited amount of machines ,I think it would be better if uniten can add more machines or make it so that we can queue virtually,Other than the problems mentioned everything is fine
2026/03/03 4:45:58 PM GMT+8,Murni,Year 2,1–2 times/week,4,4,3,1,1,5,4,It does work,Very rarely the dryer does not dry properly and timer is not accurate and ik because i make timer on my phone and when i go down it says 5 min left ,Make the dryer heater more heat,No comment
2026/03/03 4:48:15 PM GMT+8,Ilmu,Year 1,Every weekend,4,4,2,2,2,4,3,My experience is usually okay ,The queueing during waiting time and sometimes people cut me off not knowing i was there first,Better just add additional machines,Machines functions as needed
2026/03/03 5:47:54 PM GMT+8,Murni,Year 2,Every weekend,3,3,3,3,3,3,3,"Convenient and time-saving, but sometimes a bit challenging.","Machines occasionally break down, long waits during peak hours, and detergent issues.","More machines, regular maintenance, real-time availability updates, and consistent supplies.",24/7 access
2026/03/03 5:50:44 PM GMT+8,Ilmu,Year 2,1–2 times/week,4,3,4,4,3,4,3,"Laundry service is helpful and saves time, but sometimes crowded.","Some machines don’t work, long queues, and detergent runs out occasionally.","Fix broken machines faster, add more machines, and track availability online.",Easy access
2026/03/03 6:47:21 PM GMT+8,Amanah,Year 2,Every weekend,2,4,4,3,2,3,2,Very bad.,Payment issue. System down.,Everything should be improved.,NA
